gene_id	Tamaulipas-pistils-0hr-25C-R1_	Tamaulipas-pistils-0hr-25C-R2_	Tamaulipas-pistils-3hr-25C-R1_	Tamaulipas-pistils-3hr-25C-R2_	Tamaulipas-pistils-3hr-37C-R1_	Tamaulipas-pistils-3hr-37C-R2_	Tamaulipas-pistils-8hr-25C-R1_	Tamaulipas-pistils-8hr-25C-R2_	Tamaulipas-pistils-8hr-37C-R1_	Tamaulipas-pistils-8hr-37C-R2_
Solyc04g050495.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050510.3.1	6.955922	8.185169	5.252903	6.692310	8.798271	9.032000	6.312630	7.591655	16.715484	11.388971
Solyc04g050520.3.1	0.691200	0.724127	0.861541	0.629586	0.944555	1.796754	1.138907	1.123197	3.280925	1.234306
Solyc04g050540.4.1	1.626510	2.538566	1.487310	2.116178	3.122650	4.358385	1.801973	2.546721	6.221742	5.490918
Solyc04g050545.1.1	4.824412	2.652558	2.971980	1.061961	1.934134	9.895727	2.009159	5.740502	5.805433	0.586790
Solyc04g050550.3.1	1.542961	1.448081	1.961544	1.307731	2.174972	3.748851	1.697606	2.549984	2.898401	3.130861
Solyc04g050560.4.1	10.474431	12.958756	10.671804	11.303817	11.071520	9.458396	11.835157	12.277994	12.433242	13.065663
Solyc04g050570.3.1	0.059050	0.062924	0.000000	0.040161	0.000000	0.050835	0.020081	0.364055	0.000000	0.022084
Solyc04g050573.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050575.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050577.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.025775
Solyc04g050620.3.1	3.769205	3.681950	20.391723	16.870460	46.500988	54.562633	31.904179	32.898003	48.696607	51.082094
Solyc04g050623.1.1	0.000000	0.306435	0.000000	0.000000	0.000000	0.000000	0.000000	0.109982	0.000000	0.000000
Solyc04g050625.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050622.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050627.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.035378	0.000000	0.000000	0.000000
Solyc04g050670.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050675.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050680.2.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050685.1.1	0.040865	0.239274	0.032245	0.000000	0.019984	0.026403	0.000000	0.044348	0.035896	0.022885
Solyc04g050700.3.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050710.1.1	0.347287	0.363894	1.597313	1.467655	1.385648	1.413854	0.000000	1.189402	2.949960	1.657510
Solyc04g050720.4.1	1.804093	1.793856	1.734159	1.815033	3.719751	4.522251	2.843994	2.753544	6.451274	3.938316
Solyc04g050730.3.1	0.212906	0.099878	0.214373	2.201823	0.152093	0.516578	0.509934	0.020514	0.000000	0.000000
Solyc04g050740.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050745.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050750.2.1	0.000000	0.000000	0.000000	0.000000	0.262039	0.250328	0.000000	0.000000	0.000000	0.000000
Solyc04g050755.1.1	0.053211	0.041967	0.000000	0.000000	0.042190	0.122985	0.045189	0.092182	0.180195	0.096472
Solyc04g050760.4.1	9.583496	6.693717	8.822745	5.458716	14.898052	11.198456	6.797508	8.344079	17.396228	11.122474
Solyc04g050770.2.1	0.000000	0.000000	0.000000	0.000000	0.041554	0.000000	0.042533	0.000000	0.072128	0.000000
Solyc04g050780.2.1	0.042529	0.093455	0.066937	0.000000	0.129250	0.112142	0.000000	0.096007	0.225674	0.123447
Solyc04g050790.3.1	20.333002	17.710495	21.554795	19.115456	22.069654	19.782879	25.773149	29.898626	32.012740	22.848503
Solyc04g050795.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
